Tipo de deporte;Deporte;Nombre de la institución o espacio;Calle;Número;Barrio de Pilar;Actividad / Deporte arancelado;Género;Edades / Categorías
Deportes de Conjunto;Hockey;Sociedad Hebraica;Las Madreselvas ;1133;Pilar (cabecera);SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Hockey;Club Los Pinos;Joaquin Victor Gonzalez;250;La Lonja;SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Hockey;Club 25 de Mayo;Santa Teresa ;950;Manuel Alberti;SI;FEMENINO;Adultos (de 18 a 60 años)
Deportes de Conjunto;Hockey;Club Municipal  Ángel Di Maria;Batalla de Arroyo Grande/D.F. Sarmiento;;Manuel Alberti;NO;MIXTO;Adultos (de 18 a 60 años)
Deportes de Conjunto;Hockey;Club Municipal Del Viso;Polonia;6889;Del Viso;NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Hockey;Club Municipal  Tribarrial;Naón y Martin Coronado;;Pilar (cabecera);NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Hockey;Club Municipal luchetti;Perón;955;Villa Rosa;NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Hockey;Club Municipal Derquí;Henry Martin y España;;Presidente Derqui;NO;MIXTO;Adultos (de 18 a 60 años)
Deportes de Conjunto;Hockey;Microestadio Municipal Rusticucci;Néstor Kirchner;1400;Pilar (cabecera);NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes Individuales;Golf;Pilar Golf Club;Ruta 8;km 60,5;Fátima;SI;MIXTO;Todas las edades
Deportes Individuales;Golf;CUBA – Sede Fátima;Ruta 8;km 61,9;Fátima;SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Sociedad Hebraica Argentina – Sede Pilar;Av. Sgto. Cayetano Beliera;1199;La Lonja;SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Los Lagartos Country Club;Ruta Panamericana;km 46;La Lonja;SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Mapuche Country Club;Ruta 8;km 47,5 / Ramal Pilar km 48,5;La Lonja;SI;MIXTO;Todas las edades
Deportes Individuales;Golf;Martindale Country Club;Av. Juan Domingo Perón;2375;Presidente Derqui;SI;MIXTO;Todas las edades
